age,income,score,gender,department
52,98856.79,27.04,Male,Operations
69,178521.94,16.2,Other,Legal
53,187947.25,37.26,Female,Legal
57,121549.31,3.56,Other,Legal
51,103693.68,20.46,Other,Legal
36,246571.24,36.74,Other,Marketing
68,163649.75,36.16,Female,Legal
77,188158.07,6.26,Female,Legal
75,100675.44,14.67,Male,Operations
81,76842.93,24.76,Female,Operations
71,115833.01,6.38,Other,Legal
54,142558.72,38.72,Other,Marketing
82,86146.8,36.59,Other,Operations
38,149409.31,6.68,Female,Legal
47,48689.69,4.85,Other,Legal
46,82797.15,3.42,Other,Legal
87,190254.67,36.38,Other,Marketing
84,186227.43,7.74,Female,Operations
75,126487.39,16.65,Other,Marketing
86,88934.14,17.95,Other,Legal
47,88355.79,23.96,Other,Legal
72,127603.91,2.87,Other,Legal
62,188671.11,9.07,Female,Legal
82,205694.74,37.26,Male,Operations
63,120208.1,36.34,Other,Operations
57,80790.45,31.25,Other,Legal
76,166070.62,0.78,Male,Legal
83,100587.9,13.08,Other,Legal
52,118904.84,25.12,Other,Legal
64,229516.57,11.01,Other,Legal
44,199626.93,36.38,Male,Legal
15,159478.46,25.36,Other,Legal
69,73684.86,2.88,Other,Legal
77,162683.79,36.36,Other,Legal
70,213759.44,38.31,Other,Legal
26,127461.98,3.11,Other,Operations
58,231066.85,21.29,Other,Legal
21,227564.72,12.13,Female,Marketing
92,249823.97,15.71,Other,Legal
43,168314.59,7.19,Other,Legal
90,185243.5,23.12,Male,Legal
84,234851.24,38.32,Other,Legal
47,176843.64,20.12,Other,Marketing
42,119925.95,3.32,Other,Legal
72,123087.43,24.8,Male,Marketing
48,164313.3,13.61,Other,Marketing
67,72566.31,34.24,Male,Operations
55,141404.47,17.39,Male,Operations
29,215792.83,7.71,Other,Operations
20,18524.77,7.64,Other,Legal
70,242068.93,30.75,Other,Operations
54,217342.45,10.62,Male,Legal
54,122414.12,30.69,Other,Legal
79,182603.45,8.24,Male,Legal
88,150188.86,12.87,Other,Operations
60,223799.42,18.62,Other,Marketing
58,208960.99,37.73,Other,Legal
75,65995.76,37.27,Female,Marketing
38,185235.74,8.27,Male,Legal
69,137662.33,14.33,Other,Legal
76,154969.95,5.98,Female,Legal
79,106309.69,20.4,Other,Legal
26,254888.22,18.42,Other,Legal
50,212403.71,36.03,Male,Operations
47,105613.73,37.2,Other,Marketing
67,69923.36,15.34,Other,Legal
75,126859.64,19.67,Female,Legal
95,176070.16,35.85,Male,Marketing
55,164412.35,32.27,Male,Operations
55,225187.97,0.15,Other,Legal
88,197395.18,12.8,Other,Legal
71,208174.14,16.87,Female,Marketing
90,169611.32,9.19,Male,Operations
71,66642.08,7.98,Other,Legal
42,138258.09,1.51,Other,Legal
38,213605.38,25.73,Other,Marketing
34,146908.62,10.5,Female,Legal
78,180185.42,2.09,Female,Marketing
89,130875.1,9.24,Other,Legal
102,88211.29,32.08,Other,Operations
82,142599.36,34.06,Male,Legal
88,168542.85,19.32,Other,Legal
53,110658.74,16.64,Other,Marketing
42,135857.33,39.11,Other,Legal
82,93632.21,8.02,Female,Operations
73,217154.7,8.61,Other,Legal
67,132332.65,11.67,Other,Legal
73,237165.33,6.91,Other,Legal
71,241724.87,15.17,Female,Operations
91,145137.24,36.43,Male,Legal
91,89493.08,24.61,Male,Legal
76,24846.13,16.48,Other,Legal
82,61677.78,37.38,Male,Operations
75,67569.91,1.94,Other,Operations
56,232708.18,8.41,Female,Legal
80,156949.48,22.64,Other,Legal
37,173376.27,24.62,Other,Marketing
86,16774.74,1.58,Female,Legal
41,78122.01,16.12,Male,Marketing
71,203224.79,25.97,Female,Marketing
48,167206.45,27.92,Other,Operations
76,141167.68,25.53,Other,Legal
64,183890.54,12.82,Female,Marketing
33,248147.87,3.74,Other,Operations
73,136737.45,17.08,Male,Operations
53,154162.19,5.15,Female,Legal
83,161555.82,37.9,Male,Legal
65,293526.58,19.01,Other,Legal
73,24038.62,12.69,Female,Operations
46,190993.38,30.65,Female,Operations
53,143111.87,19.92,Female,Legal
56,184006.3,12.4,Male,Legal
82,110557.65,32.48,Other,Legal
99,147062.1,34.69,Male,Operations
49,192684.63,26.92,Male,Marketing
87,336774.61,1.88,Other,Legal
22,198482.17,22.65,Female,Legal
41,99116.06,30.53,Other,Legal
46,124574.42,5.46,Other,Operations
38,122795.15,9.15,Female,Operations
33,42261.41,35.3,Other,Marketing
73,130194.59,0.8,Male,Legal
61,193969.74,30.11,Other,Marketing
73,73546.07,18.95,Other,Legal
79,212908.96,17.87,Female,Operations
70,179266.49,0.28,Other,Legal
78,105946.0,32.78,Other,Marketing
64,141508.22,14.39,Other,Operations
41,245899.31,21.63,Other,Operations
86,194012.87,27.09,Other,Marketing
53,150527.02,28.11,Female,Legal
46,135739.0,38.24,Female,Legal
61,154596.54,21.25,Other,Marketing
47,119294.19,15.99,Female,Legal
57,23715.03,38.15,Other,Legal
72,272530.67,25.68,Female,Legal
72,159319.5,11.93,Female,Operations
47,173888.84,5.06,Female,Legal
55,146525.54,33.7,Other,Legal
86,105892.99,14.49,Other,Legal
75,138844.53,26.42,Other,Legal
107,54036.31,18.83,Female,Marketing
89,286625.19,7.96,Other,Marketing
88,75929.28,24.07,Male,Operations
37,88082.02,2.43,Other,Legal
80,123584.45,16.53,Other,Marketing
64,227284.54,21.86,Female,Operations
54,150870.54,17.44,Other,Legal
68,75831.85,29.95,Other,Marketing
84,225260.3,33.12,Male,Operations
75,193860.04,30.85,Other,Operations
47,182306.1,1.55,Other,Operations
80,192944.05,7.77,Female,Legal
52,293661.71,21.46,Male,Legal
69,281105.69,37.39,Other,Operations
59,108797.08,33.4,Other,Legal
61,247433.1,33.7,Other,Legal
80,172990.09,12.13,Other,Operations
44,179945.75,17.18,Other,Operations
104,48463.75,18.83,Other,Legal
29,139776.85,6.29,Other,Operations
53,101230.58,1.24,Other,Marketing
72,199683.53,37.88,Male,Operations
77,214264.83,9.63,Female,Legal
63,25530.82,9.6,Female,Legal
64,148677.91,3.34,Other,Legal
73,217311.69,37.14,Other,Legal
60,138799.26,23.19,Male,Legal
93,193743.82,26.68,Male,Legal
82,171069.93,36.46,Other,Legal
82,170499.61,13.82,Female,Marketing
46,133721.1,24.86,Other,Legal
63,77005.15,1.55,Other,Operations
59,82708.19,7.47,Other,Operations
45,192561.15,33.25,Male,Legal
72,151167.5,30.67,Male,Marketing
54,141689.27,14.03,Other,Operations
78,124566.6,15.07,Other,Legal
44,131688.67,21.34,Other,Operations
99,212814.71,0.01,Female,Legal
47,129885.36,9.65,Other,Operations
69,69536.12,8.33,Other,Legal
81,194619.11,10.02,Other,Marketing
54,137707.4,32.24,Other,Legal
82,151883.75,11.19,Male,Operations
40,246454.7,7.66,Male,Legal
94,148766.37,20.17,Other,Operations
65,167351.02,34.63,Other,Operations
53,79264.59,9.65,Female,Legal
59,136819.83,3.14,Female,Operations
81,186571.56,14.26,Other,Legal
53,56677.58,29.91,Male,Marketing
50,162050.71,22.03,Female,Legal
61,156047.46,32.67,Other,Marketing
41,152477.25,38.38,Other,Marketing
101,212229.53,31.71,Other,Legal
54,170066.31,24.15,Female,Legal
82,238684.31,19.73,Other,Legal
69,90384.63,1.6,Other,Marketing
45,158155.47,39.37,Other,Legal
65,155068.01,15.34,Other,Operations
81,85844.73,6.09,Female,Marketing
61,207377.7,26.67,Male,Legal
89,289480.4,11.37,Male,Operations
85,148979.64,23.43,Female,Legal
83,180301.27,23.47,Other,Legal
56,155071.11,17.83,Other,Operations
43,107184.92,33.44,Other,Legal
53,40754.38,10.6,Other,Legal
69,107653.59,17.95,Female,Marketing
76,66482.5,21.51,Other,Legal
22,252246.12,26.54,Female,Marketing
65,143093.42,31.36,Male,Marketing
68,129244.84,15.79,Male,Legal
59,203349.23,25.84,Other,Legal
91,82694.93,6.02,Other,Operations
73,103988.16,37.31,Male,Legal
91,154084.34,15.32,Male,Legal
61,211726.14,29.18,Other,Operations
84,180101.1,0.81,Female,Legal
98,164899.51,8.21,Other,Marketing
91,154687.06,19.48,Other,Legal
43,174014.15,35.13,Other,Legal
60,162099.17,21.09,Other,Legal
58,88201.66,37.19,Other,Marketing
75,152764.75,19.35,Other,Operations
79,85578.68,19.62,Other,Marketing
48,154864.95,4.79,Other,Legal
66,121161.12,32.11,Male,Legal
25,302362.9,9.88,Other,Legal
94,147606.34,35.98,Other,Legal
55,65745.63,36.43,Other,Operations
66,141949.19,37.73,Other,Operations
59,181161.52,20.81,Other,Legal
88,250401.84,27.08,Male,Marketing
8,114632.86,31.14,Other,Legal
65,55054.32,5.24,Other,Marketing
63,199010.22,24.04,Other,Legal
56,67164.08,1.37,Other,Legal
100,123830.67,19.9,Male,Legal
47,134542.77,6.19,Other,Legal
80,145821.99,7.32,Male,Operations
72,191349.87,14.6,Female,Legal
90,108981.94,17.3,Other,Legal
52,133576.24,24.93,Male,Operations
50,149143.78,2.98,Other,Operations
87,158975.88,20.15,Male,Marketing
74,155869.63,7.31,Male,Legal
34,176160.35,22.96,Other,Operations
54,200630.37,25.5,Other,Operations
73,173558.05,22.27,Other,Legal
82,177215.13,29.53,Other,Legal
51,55066.61,13.42,Other,Legal
7,153013.66,30.6,Female,Legal
75,178770.45,17.31,Male,Legal
41,193736.47,19.37,Male,Legal
25,108458.95,25.92,Other,Operations
8,110457.64,0.73,Other,Operations
81,115553.96,26.16,Other,Marketing
68,182184.83,24.74,Other,Operations
60,212032.86,12.39,Other,Legal
93,125552.39,3.43,Male,Marketing
78,204477.74,3.64,Male,Marketing
97,157408.79,36.93,Other,Legal
37,142542.85,27.57,Other,Operations
64,137316.95,5.08,Other,Marketing
33,194796.68,14.27,Male,Operations
60,169534.67,23.7,Other,Marketing
60,286549.53,33.42,Female,Legal
78,98866.52,1.75,Male,Legal
66,181086.1,9.47,Other,Legal
77,118247.94,35.59,Female,Operations
79,97842.78,0.37,Other,Marketing
108,149347.97,8.06,Male,Marketing
59,158241.15,38.36,Other,Legal
46,325090.41,24.54,Other,Legal
70,138951.25,10.47,Female,Marketing
49,82189.28,2.68,Other,Operations
95,166380.64,1.13,Male,Legal
59,25521.6,9.79,Other,Legal
54,144482.59,35.26,Female,Operations
56,150961.52,16.64,Female,Operations
79,197676.02,28.81,Female,Legal
62,208417.33,36.73,Male,Legal
52,119785.82,16.32,Other,Marketing
98,140963.16,7.65,Female,Operations
48,104032.75,20.68,Female,Legal
66,82316.25,36.32,Other,Legal
78,168593.69,32.17,Female,Operations
32,73584.87,2.63,Other,Legal
75,125122.39,27.7,Other,Legal
44,90289.56,22.88,Other,Operations
81,182980.99,36.3,Other,Legal
46,258085.81,4.9,Other,Operations
79,71904.72,21.36,Male,Legal
87,38818.89,35.18,Other,Operations
82,142506.79,16.4,Other,Legal
70,150941.87,19.28,Other,Legal
60,163119.56,2.82,Other,Legal
53,123220.77,11.13,Other,Marketing
94,137961.64,12.98,Other,Marketing
51,172050.62,37.8,Other,Legal
44,212425.85,11.31,Other,Operations
78,32697.07,18.43,Other,Operations
49,127863.63,26.85,Female,Marketing
46,162828.53,6.49,Other,Legal
36,94921.43,19.46,Other,Operations
55,253870.18,29.54,Male,Legal
63,111875.41,34.67,Female,Legal
70,147522.44,25.05,Other,Marketing
84,183361.33,26.76,Male,Operations
76,114522.91,5.05,Male,Legal
61,39205.62,37.83,Other,Legal
61,124280.73,5.3,Female,Operations
75,211766.43,30.99,Other,Operations
90,129786.29,10.59,Female,Legal
68,99213.94,37.34,Male,Marketing
56,205540.33,28.8,Other,Legal
45,130153.51,30.15,Other,Legal
36,119390.35,8.76,Female,Marketing
78,158967.37,17.72,Female,Legal
77,196245.01,24.71,Other,Legal
77,292902.81,30.8,Male,Operations
62,199634.17,4.16,Male,Marketing
93,219590.4,38.49,Male,Legal
55,119642.03,35.61,Other,Marketing
84,88447.91,10.81,Other,Operations
64,153739.88,32.91,Other,Legal
53,156430.19,20.73,Other,Operations
77,85289.24,18.47,Other,Legal
73,139482.33,12.58,Other,Legal
72,173959.06,23.24,Other,Operations
67,171623.6,29.2,Male,Marketing
64,180257.27,16.44,Other,Legal
113,167457.88,25.17,Other,Legal
89,119579.48,27.97,Other,Legal
79,119165.96,28.44,Female,Legal
67,78062.92,2.08,Female,Legal
85,257086.5,34.39,Other,Legal
75,150807.02,18.33,Other,Operations
66,136508.82,10.5,Other,Legal
59,94272.48,9.67,Female,Legal
63,326139.47,19.32,Other,Marketing
2,85600.32,35.47,Other,Marketing
69,124269.12,15.13,Other,Legal
55,174950.21,29.99,Other,Legal
97,186012.78,3.87,Other,Operations
65,207475.92,19.04,Other,Legal
41,258456.51,39.67,Other,Legal
64,180369.46,30.82,Other,Operations
44,86638.15,8.42,Male,Legal
74,134583.29,20.06,Male,Legal
71,168469.94,9.34,Other,Legal
84,274093.56,16.38,Other,Legal
49,66131.67,31.2,Other,Legal
66,222154.59,30.85,Other,Marketing
38,160794.86,9.12,Male,Legal
79,200269.83,36.89,Other,Legal
75,143880.32,23.7,Other,Legal
75,99454.04,15.2,Female,Marketing
65,195052.37,20.08,Female,Operations
73,189265.86,24.2,Other,Legal
97,208323.42,22.4,Male,Marketing
59,149201.72,19.46,Other,Legal
68,114010.68,20.2,Female,Legal
43,56472.78,7.06,Other,Legal
48,199162.4,32.51,Other,Legal
67,175433.37,21.67,Other,Legal
87,92053.04,5.24,Other,Operations
